,Address,Baths,Beds,Price,Sqft
0,"1209MullSt,Jacksonville,FL32205",2,4,"$115,900","1,704"
1,"3831FreemanRd,Jacksonville,FL32207",1,3,"$60,000",974
2,"8912JohnsonCt,Jacksonville,FL32219",2,4,"$64,900","1,674"
3,"2815SouthsideBlvd,Jacksonville,FL32216",1,3,"$84,000","1,476"
4,"343W63rdSt,Jacksonville,FL32208",1,2,"$29,900",898
5,"1025W28thSt,Jacksonville,FL32209",1,2,"$9,000","1,024"
6,"5811AtlanticBlvdUnit187,Jacksonville,FL32207",2.5,2,"$98,900","1,042"
7,"2570SternDr,Jacksonville,FL32233",2,3,"$249,900","1,655"
8,"3113HollyBerryLn,Jacksonville,FL32277",2,4,"$175,000","1,970"
9,"14567TranquilityCreekDr,Jacksonville,FL32226",4,5,"$350,000","2,964"
10,"1604ArcadiaDrUnit201,Jacksonville,FL32207",2.5,2,"$94,999","1,311"
11,"11219LorenceAve,Jacksonville,FL32218",2,3,"$147,900","1,495"
12,"1010FloridaBlvd,NeptuneBeach,FL32266",2,3,"$475,000","1,764"
13,"6700BowdenRdUnit1803,Jacksonville,FL32216",2.5,3,"$152,900","1,468"
14,"9542ThornabyLn,Jacksonville,FL32256",2,3,"$229,900","1,319"
15,"11626EdgemereDr,Jacksonville,FL32223",2.5,4,"$329,900","2,820"
16,"6637SouthernOaksDr,Jacksonville,FL32244",2,3,"$189,900","1,692"
17,"7944GulfRdS,Jacksonville,FL32244",2,3,"$175,000","1,302"
18,"13001SpringsManorDr,Jacksonville,FL32258",2.5,2,"$155,000","1,360"
19,"6129BartramVillageDr,Jacksonville,FL32258",2.5,2,"$189,999","1,368"
20,"901OceanBlvdApt96,AtlanticBeach,FL32233",2,2,"$270,000","1,168"
21,"5441CorkyCt,Jacksonville,FL32244",2,3,"$182,500","1,355"
22,"8215GreenParrotRdUnit103,Jacksonville,FL32256",2,2,"$135,000",978
23,"2230SessionsLn,Jacksonville,FL32207",1,2,"$235,000","1,004"
24,"1147W21stSt,Jacksonville,FL32209",2,3,"$38,500","2,052"
25,"6456SarahsViewCt,Jacksonville,FL32244",2,4,"$195,000","1,869"
26,"8206AldermanRd,Jacksonville,FL32211",2,3,"$219,900","2,121"
27,"11449DriftwoodCreekDr,Jacksonville,FL32218",2,4,"$196,750","1,794"
28,"3404KingstonSt,Jacksonville,FL32254",2,4,"$195,000","1,668"
29,"4363RogersIslandDrE,Jacksonville,FL32224",2,4,"$314,800","2,204"
30,"15716TwinCreekDr,Jacksonville,FL32218",2,4,"$236,000","1,843"
31,"1343WolfeSt,Jacksonville,FL32205",1,2,"$199,000",980
32,"3089BroughamAve,Jacksonville,FL32246",2,3,"$269,000","1,752"
33,"2127HovingtonCirE,Jacksonville,FL32246",2,3,"$259,000","1,880"
34,"1332GreyFeatherLn,Jacksonville,FL32218",2,4,"$229,900","2,000"
35,"1244JamaicaRdE,Jacksonville,FL32216",2,4,"$294,900","1,855"
36,"12098thStN,JacksonvilleBeach,FL32250",2,4,"$448,950","2,169"
37,"1906GroveSt,JacksonvilleBeach,FL32250",2,3,"$326,900","1,360"
38,"6000SanJoseBlvdApt12E,Jacksonville,FL32217",2,3,"$439,000","1,467"
39,"5OakwoodRd,JacksonvilleBeach,FL32250",1.5,4,"$402,000","1,848"
40,"10124CroftonCt,Jacksonville,FL32246",3.5,4,"$499,000","2,998"
41,"178LochnagarMountainDr,SaintJohns,FL32259",2,3,"$285,000","1,703"
42,"83MariahAnnLn,SaintJohns,FL32259",4.5,5,"$489,900","3,394"
43,"5050CamilleAve,Jacksonville,FL32210",1,4,"$507,478","1,111"
